Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
1636.10193,1641.9375691237465,1639.587139879907,1639.8100535999995,1707.0597,1635.7836,1509.1619
1592.94003,1604.4878135588078,1597.412435069391,1596.8167482000001,1670.7394,1601.4911,1474.666
1556.27085,1567.4213950339918,1561.315791962886,1557.2370032999988,1632.794,1568.0375,1442.8168
1533.70632,1528.8726892844975,1538.9835151584857,1535.9222186999996,1593.0431,1535.2144,1412.8683
1461.8932799999998,1491.804979519381,1467.3030018256798,1467.778176600001,1558.6716,1505.6052,1384.3796
1439.10579,1455.5021451158807,1444.3645911807903,1432.543568999997,1517.7343,1472.8425,1357.1987
1417.44372,1419.352836316432,1422.4730522504094,1426.656786299999,1477.5972,1439.2198,1330.625
1377.2638499999998,1383.532060342563,1381.6474340368802,1382.9154656999985,1444.1316,1408.1836,1305.0393
1335.64317,1348.3641226544555,1339.0628496223815,1328.7247299000016,1411.8348,1378.6654,1280.7896
1342.88466,1313.6333208801943,1346.49309044151,1351.9225131000003,1379.9253,1349.0138,1256.8717
1347.02046,1279.2810873357491,1350.73276584382,1351.9225131000003,1357.3623,1325.1017,1234.3765
1317.69885,1245.378755353208,1320.6137020835276,1316.7105755999996,1348.2211,1311.529,1214.2676
1300.58496,1211.9356653589668,1302.970397719302,1299.5596376999995,1343.6489,1304.0725,1196.7014
1278.48273,1178.906736093278,1280.1182370146093,1280.9764242000006,1338.7283,1299.398,1181.8834
1267.9857900000002,1146.2918101289622,1269.2402487006016,1275.7968084000004,1327.2733,1294.3033,1169.4385
1239.66369,1114.0988137971333,1239.8159706202673,1237.9137135000017,1311.4507,1288.414,1160.2269
1225.67307,1082.3182864042592,1225.244237478279,1223.7498041999993,1291.2112,1279.3733,1153.4465
1229.5643699999998,1050.9400881033139,1229.2994286006865,1233.3250343999985,1269.8411,1267.816,1148.6362
1230.00801,1019.9620014515848,1229.7616450702822,1233.3250343999985,1256.0391,1257.4015,1145.9
1238.26938,989.3801471136092,1238.364776077985,1236.442887000001,1252.4417,1250.7874,1144.6052
1252.35018,959.1881014361965,1253.0090225485342,1247.5940682000014,1260.1351,1249.8204,1144.7316
1249.11687,929.3806581277486,1249.648530301915,1247.5940682000014,1277.9349,1255.9095,1147.2719
1250.48109,899.9535331651534,1251.0665751369584,1247.5940682000014,1296.6818,1266.1821,1152.3671
1266.38898,870.901828778008,1267.584123344295,1271.8403916000004,1311.1705,1277.9572,1159.8157
1285.13937,842.2205223622275,1287.0083547178385,1284.4708035000017,1323.4692,1291.6914,1169.9915
1304.67255,813.904956705422,1307.1885968003135,1309.3551416999987,1337.339,1308.1732,1183.5381
1325.44518,785.9505494246506,1328.5843794517232,1320.3436626000018,1355.7574,1327.662,1200.0079
1325.52006,758.3526495731566,1328.6613808130792,1320.3436626000018,1378.4048,1350.0209,1219.3457
1318.9434,731.1066876070417,1321.8949470937498,1319.7727446000017,1397.68,1371.4962,1241.5262
1343.51031,704.2081980838901,1347.1346382651268,1351.9225131000003,1405.7953,1388.0591,1265.497
1359.00528,677.6527541714671,1363.0023061811382,1357.6755491999993,1410.376,1402.0573,1290.8105
1351.04394,651.4359707555499,1354.8545415180265,1351.9225131000003,1416.7778,1415.346,1316.8022
1344.23583,625.5535292780817,1347.8785118148598,1351.9225131000003,1420.1444,1425.4182,1343.1302
1360.22031,600.0011698744873,1364.2448389123742,1357.6755491999993,1418.012,1430.381,1368.7605
1377.61101,574.774681976985,1382.001385847897,1382.9154656999985,1416.1044,1433.0798,1392.8772
1378.13232,549.8699083156424,1382.5328553772151,1382.9154656999985,1419.7551,1436.7867,1414.9705
1388.1414,525.2827467585483,1392.727812546341,1384.7109206999985,1427.0586,1441.1047,1435.0508
1409.58507,501.00914719307724,1414.510512342282,1401.9229010999995,1437.1339,1446.3757,1453.4281
1425.0879599999998,477.0451103688165,1430.2078174578908,1426.656786299999,1452.0483,1454.567,1469.6049
