Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
4786.26123,4797.804393307226,4333.940522833038,4778.419151699996,5110.497,4889.3076,4828.102
4666.992270000001,4678.345547619856,4266.526282967443,4673.1981921,5010.3354,4778.787,4722.0884
4577.98425,4554.640844367497,4213.641379084845,4578.165466199999,4910.581,4669.2827,4622.0854
4516.61058,4429.358156792869,4175.93667068491,4513.905234000003,4808.967,4567.4697,4528.159
4310.12241,4310.419768340993,4042.0812200320333,4320.374220000006,4714.8403,4481.873,4440.0415
4234.80549,4191.60522876823,3990.7559605836605,4236.775227300005,4592.0312,4385.3013,4357.205
4160.4336,4072.781322944512,3938.878123588175,4180.885500900004,4422.8784,4285.547,4276.8237
4038.54192,3955.6962689385127,3851.497611675324,4017.3185303999926,4283.5566,4192.549,4199.4253
3913.569,3840.4192644574096,3759.2325163547885,3912.8613293999956,4160.93,4101.6436,4124.7363
3934.06197,3725.9124539713775,3774.528919804994,3918.4323437999933,4048.171,4006.3572,4052.8396
3941.98161,3612.5302928152205,3780.4236613270405,3918.4323437999933,3958.3726,3932.0544,3983.272
3852.10596,3500.523284655624,3713.001376739079,3843.322918199999,3930.716,3890.8103,3920.0933
3790.45236,3389.6976374785154,3666.140710127023,3783.236810999998,3930.5515,3863.1345,3863.171
3711.85563,3279.953859719075,3605.7951458635034,3718.7589992999974,3921.5286,3835.905,3812.491
3675.168,3171.3904011932746,3577.428406639859,3666.827589599998,3889.9468,3799.49,3769.8672
3577.74402,3063.9971421134246,3501.6200237181347,3587.8264985999967,3827.7668,3758.4636,3734.4229
3540.1332300000004,2957.7182610275636,3472.2099727928135,3548.941110299996,3741.1326,3706.9526,3704.9038
3549.00384,2852.550274692385,3479.1520417057186,3550.924313999996,3625.4905,3652.215,3678.8806
3538.99362,2748.498768611005,3471.317893629768,3548.941110299996,3543.227,3610.0195,3656.6108
3547.3639200000007,2645.5435468515357,3477.868896848026,3550.924313999996,3509.962,3584.2034,3639.084
3585.445290000001,2543.668219938345,3507.633751604278,3587.8264985999967,3521.5547,3575.7961,3625.7097
3581.25219,2442.866060681402,3504.359847263164,3587.8264985999967,3567.8472,3587.3523,3619.3064
3577.0968000000003,2343.1267200135853,3501.114486754363,3572.754592799996,3641.9092,3609.2288,3619.3865
3617.90802,2244.4367591807654,3532.9468523616806,3610.7877485999984,3697.7927,3632.393,3627.5833
3665.51913,2146.7853286226305,3569.9495945035346,3655.7770355999987,3732.8826,3659.85,3643.2322
3714.32145,2050.1623803417147,3607.6975236136796,3718.7589992999974,3759.3433,3695.4397,3666.2388
3765.24216,1954.5567840490428,3646.8534380402116,3769.495047600002,3780.675,3740.5625,3698.467
3758.69043,1859.9575281672285,3641.829896436221,3769.495047600002,3807.2058,3793.6348,3740.6033
3745.06686,1766.354224543478,3631.3699478685303,3729.574255200003,3840.4136,3841.0264,3790.234
3813.34566,1673.7364609273677,3683.5940133662525,3809.3467056,3866.907,3872.5876,3845.0955
3864.27429,1582.0937562148722,3722.194473019538,3883.2900287999973,3891.0376,3901.4058,3903.5635
3851.01801,1491.415840585179,3712.1785061846786,3843.322918199999,3946.7458,3935.4043,3965.2979
3829.7706,1401.6926024778697,3696.078109075369,3814.5693933,4003.5918,3964.9604,4028.323
3875.03103,1312.9139810823624,3730.3049426625325,3888.7755593999977,4022.8062,3980.7441,4091.5996
3927.329580000001,1225.070014701293,3769.5105153788168,3918.4323437999933,4029.8347,3993.008,4154.0254
3939.32319,1138.1508716940327,3778.445997734154,3918.4323437999933,4053.734,4012.368,4215.146
3975.95523,1052.146820422053,3805.601913840589,3997.7937197999972,4078.5166,4035.5144,4273.0474
4042.49085,967.0482219384884,3854.3711616045152,4027.767615899992,4102.556,4062.7166,4325.8
4085.2914,882.8455427605594,3885.3383462330826,4084.5495941999966,4152.454,4100.0386,4373.1313
4066.81161,799.5293528736413,3872.008214175061,4084.5495941999966,4225.8804,4145.038,4415.769
4151.84886,717.0903190726413,3932.8169619527384,4151.711330700006,4282.2783,4181.9585,4453.936
4178.454809999999,635.5192057320763,3951.5536176318847,4182.851650500004,4320.6523,4221.5347,4488.291
4127.33751,554.8068756773527,3915.4308907914938,4111.637580000004,4364.5044,4261.9897,4520.514
4201.85829,474.9442879064335,3967.9157541081427,4198.711099799998,4379.9614,4285.0083,4549.9443
4230.2451,395.9224960933312,3987.608293073559,4214.005149900004,4371.1196,4305.2124,4578.409
4319.40597,317.732648238809,4048.3193033095013,4321.437503400006,4384.767,4327.623,4605.603
4338.16176,240.36598571676376,4060.861552367451,4332.404928900006,4418.754,4364.7227,4633.4663
4406.71848,163.81384200754408,4105.999472643823,4413.948244499994,4480.774,4408.173,4662.2427
