Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
654.44079,656.7751317304904,654.1876945751408,655.9240281000007,679.3182,665.4239,596.0783
637.1759999999999,641.7953384005909,637.1892020408255,638.7267006000002,664.1386,650.8097,585.2096
622.5083400000001,626.9689337177662,622.7654154066573,622.8948087000011,648.7108,636.559,575.5655
613.48251,611.5496243639001,613.8954781817775,614.3688983999995,634.1104,622.8156,566.8169
584.7573299999999,596.7227520276546,585.6796504509239,587.1112572000001,620.1038,610.30316,558.27704
575.6423100000001,582.201867588275,576.7252624067121,573.0174176999996,604.4626,596.573,550.22504
566.9775,567.7424236044425,568.210158331409,570.6627186000005,587.15485,582.4814,542.67017
550.90554,553.4144172496383,552.4028489559212,553.1661953999991,573.4662,569.5168,535.2071
534.25728,539.3475789132244,536.0013248460052,531.4898913000004,560.43787,557.2879,527.96246
537.15387,525.4556246645342,538.8575161439446,540.769002299999,545.82965,544.9121,520.91626
538.80819,511.71512400951076,540.4882436499552,540.769002299999,536.1146,534.9051,513.93365
527.07954,498.1546104481644,528.9183077979343,526.6842183000009,532.6346,529.0862,507.60028
520.23399,484.7778209136235,522.1551876155927,519.8238458999997,529.92645,525.6745,502.26196
511.39308,471.5667210902502,513.4078105734972,512.3905697999998,524.9115,523.2986,497.24167
507.19434,458.5212469739125,509.2478738215573,510.3187241999997,520.432,520.7775,492.89816
495.86547,445.64456887733843,498.0036386429149,495.1654775999996,514.9,518.0778,489.51724
490.2692400000001,432.93290190560356,492.43749210454155,489.49991639999934,507.86893,514.3006,487.00717
491.82576,420.38218917015064,493.9864668056693,493.33001040000033,499.25085,509.68793,485.38248
492.00318,407.99154306850835,494.1629860091298,493.33001040000033,493.62485,505.81586,484.37585
495.30777,395.759411315694,497.4492996466247,494.5771469999997,491.95563,503.63947,483.79065
500.94006,383.6832237718913,503.0440917737439,499.0376256000002,492.80682,503.7966,483.9122
499.64672999999993,371.7608972522564,501.76006056814447,499.0376256000002,497.59433,506.67224,484.84146
500.19246,359.99071755940355,502.30191599897546,499.0376256000002,503.02246,510.86115,486.8663
506.55561,348.37072499297966,508.6147097569492,508.73615699999965,506.28058,515.4908,489.80945
514.05576,336.8989099066162,516.0439551037132,513.7883232000005,510.17026,520.7084,493.4983
