Actual,ARIMA,SVR,RandomForest,RNN,GRU,LSTM
10051.14864,10075.3404044299,7882.435039747872,10034.680215600012,10340.183,9847.266,10223.048
9800.68377,9824.419048758964,7815.020785831649,9813.716202,10135.609,9626.721,9964.023
9613.76694,9564.569991141092,7762.1358854458595,9614.14746450001,9921.075,9411.284,9710.654
9484.88223,9301.386922380589,7724.431176270128,9479.200993200004,9698.999,9211.335,9460.553
9051.25701,9051.506858860883,7590.575705702608,9072.78582510001,9504.706,9040.945,9223.632
8893.09152,8801.873304705481,7539.250459635909,8897.2279821,9277.222,8859.446,8994.964
8736.91056,8552.204246127487,7487.372625588538,8779.859539799996,9071.487,8671.641,8777.945
8480.93808,8306.169894374612,7399.9921303013,8436.36893610001,8837.991,8491.518,8570.166
8218.49487,8063.917127782919,7307.727007638164,8217.0087864,8597.3,8313.921,8368.471
8261.53011,7823.267232242479,7323.023412198453,8228.70793140001,8383.966,8128.2314,8173.3306
8278.16136,7584.96416989338,7328.918155861861,8228.70793140001,8208.765,7974.4014,7991.8516
8089.42254,7349.534371171276,7261.49588734071,8070.9781043999965,8101.888,7881.754,7829.427
7959.949979999999,7116.571480421756,7214.635220803284,7944.797278199991,8066.5522,7826.5776,7682.271
7794.89682,6885.866802553355,7154.28964669644,7809.393917699993,8084.9287,7785.431,7563.4253
7717.85283,6657.627288256799,7125.922919636094,7700.337948599993,8059.4375,7736.9307,7467.9194
7513.26246,6431.832062006011,7050.114532324282,7534.435660799991,7995.4326,7680.205,7393.6313
7434.27975,6208.364229988037,7020.704462396362,7452.776314799993,7857.8438,7600.6377,7329.1655
7452.908069999999,5987.216740719403,7027.646545847068,7456.941042899993,7667.4097,7506.446,7283.6235
7431.88659,5768.401614748481,7019.812391060557,7452.776314799993,7501.18,7425.5703,7247.3105
7449.46425,5551.876746299072,7026.363405460567,7456.941042899993,7374.6343,7371.5957,7220.1104
7529.435069999999,5337.607998828771,7056.128239018711,7534.435660799991,7344.01,7352.797,7200.63
7520.629559999999,5125.581518830499,7052.854334672738,7534.435660799991,7405.2705,7376.691,7197.934
7511.903279999999,4915.775851485598,7049.608988665475,7502.784611999986,7526.9346,7429.374,7208.3643
7597.60686,4708.163048087454,7081.441360955627,7582.654297499994,7672.73,7493.897,7232.8477
7697.59014,4502.720589023906,7118.444084244677,7677.1317785999945,7805.2256,7570.792,7280.1826
7800.075060000001,4299.42763501039,7156.192031059255,7809.393917699993,7892.7764,7664.51,7346.9424
7907.00856,4098.26107085919,7195.347948743492,7915.939590600006,7968.555,7776.0127,7438.3716
7893.24996,3899.19802546144,7190.324419200455,7915.939590600006,8050.286,7904.1333,7553.732
7864.6404,3702.2169323995636,7179.864447613831,7832.105944500009,8118.747,8025.276,7690.951
8008.02585,3507.296170988941,7232.088502271926,7999.628046899994,8166.727,8118.6274,7836.653
8114.976030000001,3314.4139718620427,7270.6889825268845,8154.909077100004,8207.371,8199.222,7985.8486
8087.137799999999,3123.549005106491,7260.673000578747,8070.9781043999965,8230.341,8280.851,8140.775
8042.51823,2934.6802692402734,7244.572600186297,8010.595693499996,8258.202,8350.573,8302.947
8137.56516,2747.7868655177012,7278.799443548434,8166.428693700003,8288.342,8393.366,8456.283
8247.39213,2562.8480994289225,7318.005021611069,8228.70793140001,8316.155,8422.924,8592.344
